API,year,month,oil
A_30015420120000,2015,FEB,0
A_30015420120000,2015,MAR,5329
A_30015420120000,2015,APR,2996
A_30015420120000,2015,MAY,2369
A_30015420120000,2015,JUN,1957
A_30015420120000,2015,JUL,1775
A_30015420120000,2015,AUG,1471
A_30015420120000,2015,SEP,1111
A_30015420120000,2015,DEC,0
A_30015420120000,2016,JAN,1
A_30015420120000,2016,FEB,1815
A_30015420120000,2016,MAR,1591
A_30015420120000,2016,APR,1224
A_30015420120000,2016,MAY,1103
A_30015420120000,2016,JUN,868
A_30015420120000,2016,JUL,941
A_30015420120000,2016,AUG,390
A_30015420120000,2016,OCT,655
A_30015420120000,2016,NOV,1396
A_30015420120000,2016,DEC,967
A_30015420120000,2017,JAN,872
A_30015420120000,2017,FEB,783
A_30015420120000,2017,MAR,552
A_30015420120000,2017,APR,718
A_30015420120000,2017,MAY,643
A_30015420120000,2017,JUN,571
A_30015420120000,2017,JUL,251
A_30015420120000,2017,AUG,0
A_30015420120000,2017,SEP,115
A_30015420120000,2017,OCT,1197
A_30015420120000,2017,NOV,0
A_30015420120000,2017,DEC,4
A_30015420120000,2018,JAN,823
A_30015420120000,2018,FEB,1158
A_30015420120000,2018,MAR,703
A_30015420120000,2018,APR,668
A_30015420120000,2018,MAY,638
A_30015420140000,2017,JAN,385
A_30015420140000,2017,FEB,34
A_30015420140000,2017,MAR,28
A_30015420140000,2017,APR,67
A_30015420140000,2017,MAY,34
A_30015420140000,2017,JUN,159
A_30015420140000,2017,JUL,78
A_30015420140000,2017,AUG,3
A_30015420140000,2017,SEP,3
A_30015420140000,2017,OCT,23
A_30015420140000,2017,NOV,3
A_30015420140000,2017,DEC,2
A_30015420140000,2018,JAN,3
A_30015420140000,2018,FEB,3
A_30015420140000,2018,MAR,3
A_30015420140000,2018,APR,3
A_30015420140000,2018,MAY,5
A_30015420220000,2015,SEP,249
A_30015420220000,2015,OCT,10850
A_30015420220000,2015,NOV,9420
A_30015420220000,2015,DEC,6460
A_30015420220000,2016,JAN,6523
A_30015420220000,2016,FEB,6897
A_30015420220000,2016,MAR,5670
A_30015420220000,2016,APR,2805
