p,Np,Gp,Bg,Bo,Rs,Rv,z
3700.0,0.0,0.0,0.87,10.058,11560.7,86.5,0.93177
3650.0,28600.0,0.34,0.88,2.417,2378.0,81.5,0.92941
3400.0,93000.0,1.2,0.92,2.1919999999999997,2010.0,70.5,0.91859
3100.0,231000.0,3.3,0.99,1.916,1569.0,56.2,0.90791
2800.0,270000.0,4.3,1.08,1.736,1272.0,46.5,0.90013
2500.0,379000.0,6.6,1.2,1.617,1067.0,39.5,0.89566
2200.0,481000.0,9.1,1.35,1.504,873.0,33.8,0.89485
1900.0,517200.0,10.5,1.56,1.416,719.0,29.9,0.89795
1600.0,549000.0,12.0,1.85,1.3259999999999998,565.0,27.3,0.90507
1300.0,580000.0,12.8,2.28,1.268,461.0,25.5,0.91611
1000.0,675000.0,16.4,2.95,1.205,349.0,25.9,0.93077
700.0,755000.0,19.1,4.09,1.149,249.0,28.3,0.94864
600.0,803000.0,20.5,4.68,1.131,218.0,29.8,0.95522
