Date,Rate (SCF/d)
2004-04-01,2706039.0
2004-05-01,2492086.2
2004-06-02,1816846.1
2004-07-02,1920207.4
2004-07-04,1683521.4
2004-07-25,1847040.9
2004-08-01,1536201.6
2004-08-16,1711845.0
2004-08-17,677522.19
2004-09-04,762001.13
2004-09-20,1693418.3
2004-10-01,1653677.5
2004-11-01,826961.12
2004-12-04,477828.5
2005-01-05,671557.69
2005-01-15,579814.69
2005-01-29,610631.56
2005-02-02,611836.31
2005-03-05,697951.0
2005-03-24,609301.19
2005-03-25,658505.75
2005-04-03,406354.59
2005-04-27,386835.38
2005-05-03,438420.41
2005-06-02,483768.19
2005-06-03,554019.62
2005-06-27,537210.38
2005-07-01,415408.94
2005-07-11,420196.31
2005-07-18,374775.44
2005-07-30,351255.59
2005-08-02,362173.69
2005-08-04,423154.81
2005-08-05,389968.5
2005-09-02,309780.78
2005-09-17,372436.03
2005-10-05,377347.62
2005-11-09,211264.06
2005-12-02,399897.31
2005-12-03,219792.47
2006-01-01,0.0
2006-01-03,0.0
2006-01-20,258272.27
2006-02-04,355002.75
2006-02-26,0.0
2006-03-04,208939.83
2006-04-06,327022.12
2006-05-01,315520.09
2006-05-08,307970.41
2006-06-05,249027.67
2006-07-02,243900.59
2006-08-02,207667.91
2006-08-16,388872.69
2006-08-17,341549.47
2006-09-01,294167.12
2006-09-14,285477.69
2006-10-01,310911.88
2006-10-10,309078.38
2006-10-15,160316.78
2006-11-01,289382.91
2006-11-09,293290.66
2006-11-11,293359.31
2006-11-17,351398.16
2006-12-01,351398.16
