DATEPRD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE
07/04/2014,15/9-F-1 C,0.00,0.000,0.000
08/04/2014,15/9-F-1 C,0.00,,
09/04/2014,15/9-F-1 C,0.00,,
10/04/2014,15/9-F-1 C,0.00,,
11/04/2014,15/9-F-1 C,0.00,310.376,96.876
12/04/2014,15/9-F-1 C,0.00,303.501,96.923
13/04/2014,15/9-F-1 C,0.00,303.535,96.959
14/04/2014,15/9-F-1 C,0.00,303.782,96.969
15/04/2014,15/9-F-1 C,0.00,303.858,97.021
16/04/2014,15/9-F-1 C,0.00,303.792,97.066
17/04/2014,15/9-F-1 C,0.00,304.335,96.919
18/04/2014,15/9-F-1 C,0.00,304.849,96.720
19/04/2014,15/9-F-1 C,0.00,305.371,96.616
20/04/2014,15/9-F-1 C,0.00,313.871,96.560
21/04/2014,15/9-F-1 C,11.50,301.376,102.676
22/04/2014,15/9-F-1 C,24.00,289.421,106.353
23/04/2014,15/9-F-1 C,24.00,270.240,107.644
24/04/2014,15/9-F-1 C,24.00,262.843,107.869
25/04/2014,15/9-F-1 C,24.00,255.527,107.971
26/04/2014,15/9-F-1 C,24.00,247.199,108.052
27/04/2014,15/9-F-1 C,24.00,240.736,108.054
28/04/2014,15/9-F-1 C,24.00,235.021,108.042
29/04/2014,15/9-F-1 C,24.00,232.744,107.988
30/04/2014,15/9-F-1 C,24.00,233.298,107.893
01/05/2014,15/9-F-1 C,24.00,231.089,107.877
02/05/2014,15/9-F-1 C,24.00,231.419,107.817
03/05/2014,15/9-F-1 C,24.00,230.766,107.795
04/05/2014,15/9-F-1 C,24.00,230.596,107.764
05/05/2014,15/9-F-1 C,24.00,229.424,107.780
06/05/2014,15/9-F-1 C,24.00,225.902,107.860
07/05/2014,15/9-F-1 C,24.00,225.768,107.838
08/05/2014,15/9-F-1 C,24.00,225.687,107.821
09/05/2014,15/9-F-1 C,13.83,227.798,107.599
10/05/2014,15/9-F-1 C,24.00,226.061,107.684
11/05/2014,15/9-F-1 C,24.00,225.097,107.836
12/05/2014,15/9-F-1 C,24.00,226.023,107.772
13/05/2014,15/9-F-1 C,24.00,226.905,107.717
14/05/2014,15/9-F-1 C,24.00,225.576,107.741
15/05/2014,15/9-F-1 C,24.00,225.893,107.709
16/05/2014,15/9-F-1 C,24.00,225.701,107.710
17/05/2014,15/9-F-1 C,24.00,223.603,107.778
18/05/2014,15/9-F-1 C,24.00,220.102,107.889
19/05/2014,15/9-F-1 C,24.00,220.490,107.860
20/05/2014,15/9-F-1 C,24.00,220.154,107.859
21/05/2014,15/9-F-1 C,24.00,220.066,107.851
22/05/2014,15/9-F-1 C,24.00,219.983,107.852
23/05/2014,15/9-F-1 C,24.00,219.863,107.867
24/05/2014,15/9-F-1 C,24.00,219.923,107.883
25/05/2014,15/9-F-1 C,24.00,219.977,107.903
26/05/2014,15/9-F-1 C,24.00,219.974,107.921
27/05/2014,15/9-F-1 C,24.00,219.980,107.936
28/05/2014,15/9-F-1 C,24.00,219.267,107.445
29/05/2014,15/9-F-1 C,24.00,220.007,107.962
30/05/2014,15/9-F-1 C,24.00,220.000,107.974
31/05/2014,15/9-F-1 C,24.00,219.994,107.985
01/06/2014,15/9-F-1 C,24.00,220.006,107.994
02/06/2014,15/9-F-1 C,22.00,221.328,107.825
03/06/2014,15/9-F-1 C,24.00,220.240,107.965
04/06/2014,15/9-F-1 C,24.00,221.268,107.961
05/06/2014,15/9-F-1 C,24.00,221.045,107.973
06/06/2014,15/9-F-1 C,24.00,220.750,107.987
07/06/2014,15/9-F-1 C,24.00,220.640,107.994
08/06/2014,15/9-F-1 C,24.00,220.504,108.003
09/06/2014,15/9-F-1 C,19.50,221.451,107.757
10/06/2014,15/9-F-1 C,24.00,220.852,107.991
11/06/2014,15/9-F-1 C,24.00,218.415,108.065
12/06/2014,15/9-F-1 C,24.00,215.497,108.139
13/06/2014,15/9-F-1 C,24.00,214.823,108.135
14/06/2014,15/9-F-1 C,24.00,215.833,108.105
15/06/2014,15/9-F-1 C,24.00,214.877,108.114
16/06/2014,15/9-F-1 C,24.00,215.381,108.088
17/06/2014,15/9-F-1 C,24.00,216.119,108.067
18/06/2014,15/9-F-1 C,24.00,215.984,108.066
19/06/2014,15/9-F-1 C,24.00,215.818,108.066
20/06/2014,15/9-F-1 C,24.00,215.579,108.073
21/06/2014,15/9-F-1 C,24.00,215.304,108.079
22/06/2014,15/9-F-1 C,24.00,214.949,108.085
23/06/2014,15/9-F-1 C,24.00,214.858,108.087
24/06/2014,15/9-F-1 C,24.00,214.897,108.080
25/06/2014,15/9-F-1 C,24.00,214.822,108.084
26/06/2014,15/9-F-1 C,16.58,219.559,107.447
27/06/2014,15/9-F-1 C,23.83,217.252,107.635
28/06/2014,15/9-F-1 C,24.00,215.093,108.078
29/06/2014,15/9-F-1 C,24.00,215.259,108.099
30/06/2014,15/9-F-1 C,24.00,215.351,108.108
01/07/2014,15/9-F-1 C,24.00,215.385,108.114
02/07/2014,15/9-F-1 C,24.00,215.407,108.119
03/07/2014,15/9-F-1 C,24.00,215.332,108.124
04/07/2014,15/9-F-1 C,24.00,215.211,108.129
05/07/2014,15/9-F-1 C,24.00,215.119,108.132
06/07/2014,15/9-F-1 C,24.00,215.067,108.134
07/07/2014,15/9-F-1 C,24.00,215.070,108.136
08/07/2014,15/9-F-1 C,24.00,215.047,108.139
09/07/2014,15/9-F-1 C,24.00,215.136,108.140
10/07/2014,15/9-F-1 C,24.00,215.165,108.143
11/07/2014,15/9-F-1 C,24.00,215.188,108.144
12/07/2014,15/9-F-1 C,24.00,215.464,108.142
13/07/2014,15/9-F-1 C,24.00,215.759,108.134
14/07/2014,15/9-F-1 C,24.00,215.977,108.121
15/07/2014,15/9-F-1 C,24.00,215.051,108.145
16/07/2014,15/9-F-1 C,24.00,214.827,108.150
17/07/2014,15/9-F-1 C,24.00,214.761,108.151
18/07/2014,15/9-F-1 C,24.00,214.923,108.148
19/07/2014,15/9-F-1 C,24.00,215.035,108.147
20/07/2014,15/9-F-1 C,22.42,216.045,108.021
21/07/2014,15/9-F-1 C,24.00,215.112,108.142
22/07/2014,15/9-F-1 C,24.00,215.062,108.176
23/07/2014,15/9-F-1 C,24.00,215.205,108.182
24/07/2014,15/9-F-1 C,24.00,215.378,108.182
25/07/2014,15/9-F-1 C,24.00,215.526,108.183
26/07/2014,15/9-F-1 C,24.00,215.614,108.183
27/07/2014,15/9-F-1 C,24.00,215.844,108.183
28/07/2014,15/9-F-1 C,24.00,216.087,108.183
29/07/2014,15/9-F-1 C,24.00,215.966,108.191
30/07/2014,15/9-F-1 C,24.00,214.626,108.233
31/07/2014,15/9-F-1 C,24.00,215.092,108.220
01/08/2014,15/9-F-1 C,24.00,215.027,108.221
02/08/2014,15/9-F-1 C,24.00,215.155,108.217
03/08/2014,15/9-F-1 C,24.00,215.130,108.217
04/08/2014,15/9-F-1 C,24.00,212.895,108.262
05/08/2014,15/9-F-1 C,24.00,210.167,108.325
06/08/2014,15/9-F-1 C,24.00,209.823,108.321
07/08/2014,15/9-F-1 C,24.00,210.094,108.307
08/08/2014,15/9-F-1 C,24.00,210.184,108.297
09/08/2014,15/9-F-1 C,24.00,210.545,108.283
10/08/2014,15/9-F-1 C,24.00,210.631,108.281
11/08/2014,15/9-F-1 C,24.00,213.448,108.171
12/08/2014,15/9-F-1 C,24.00,215.506,108.138
13/08/2014,15/9-F-1 C,24.00,215.895,108.159
14/08/2014,15/9-F-1 C,24.00,215.855,108.189
15/08/2014,15/9-F-1 C,24.00,215.777,108.204
16/08/2014,15/9-F-1 C,24.00,216.002,108.202
17/08/2014,15/9-F-1 C,24.00,216.016,108.211
18/08/2014,15/9-F-1 C,24.00,216.082,108.215
19/08/2014,15/9-F-1 C,0.99,217.065,108.215
20/08/2014,15/9-F-1 C,0.00,242.944,103.647
21/08/2014,15/9-F-1 C,0.00,234.107,104.129
22/08/2014,15/9-F-1 C,0.00,234.107,104.129
23/08/2014,15/9-F-1 C,0.00,234.107,104.129
24/08/2014,15/9-F-1 C,0.00,234.107,104.129
25/08/2014,15/9-F-1 C,0.00,266.286,101.806
26/08/2014,15/9-F-1 C,0.00,268.533,101.253
27/08/2014,15/9-F-1 C,0.00,271.096,101.206
28/08/2014,15/9-F-1 C,0.00,266.151,98.061
29/08/2014,15/9-F-1 C,0.00,276.538,101.183
30/08/2014,15/9-F-1 C,0.00,279.004,101.128
31/08/2014,15/9-F-1 C,0.00,281.008,101.032
01/09/2014,15/9-F-1 C,0.00,282.916,100.949
02/09/2014,15/9-F-1 C,3.88,284.441,100.737
03/09/2014,15/9-F-1 C,19.17,248.024,106.953
04/09/2014,15/9-F-1 C,24.00,237.287,107.370
05/09/2014,15/9-F-1 C,24.00,223.510,108.490
06/09/2014,15/9-F-1 C,24.00,225.251,108.443
07/09/2014,15/9-F-1 C,24.00,225.938,108.428
08/09/2014,15/9-F-1 C,24.00,224.929,108.435
09/09/2014,15/9-F-1 C,24.00,224.676,108.408
10/09/2014,15/9-F-1 C,24.00,224.654,108.388
11/09/2014,15/9-F-1 C,24.00,225.961,108.339
12/09/2014,15/9-F-1 C,24.00,225.609,108.329
13/09/2014,15/9-F-1 C,24.00,225.300,108.320
14/09/2014,15/9-F-1 C,24.00,225.149,108.315
15/09/2014,15/9-F-1 C,24.00,224.943,108.308
16/09/2014,15/9-F-1 C,24.00,224.805,108.301
17/09/2014,15/9-F-1 C,24.00,224.625,108.298
18/09/2014,15/9-F-1 C,24.00,224.549,108.290
19/09/2014,15/9-F-1 C,24.00,224.559,108.282
20/09/2014,15/9-F-1 C,24.00,221.863,108.331
21/09/2014,15/9-F-1 C,24.00,219.555,108.391
22/09/2014,15/9-F-1 C,24.00,219.888,108.362
23/09/2014,15/9-F-1 C,24.00,219.715,108.354
24/09/2014,15/9-F-1 C,24.00,219.833,108.346
