DATEPRD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE
07/04/2014,15/9-F-1 C,0.0,0.0,0.0
08/04/2014,15/9-F-1 C,0.0,,
09/04/2014,15/9-F-1 C,0.0,,
10/04/2014,15/9-F-1 C,0.0,,
11/04/2014,15/9-F-1 C,0.0,310.376,96.876
12/04/2014,15/9-F-1 C,0.0,303.501,96.92299999999999
13/04/2014,15/9-F-1 C,0.0,303.535,96.959
14/04/2014,15/9-F-1 C,0.0,303.782,96.969
15/04/2014,15/9-F-1 C,0.0,303.858,97.021
16/04/2014,15/9-F-1 C,0.0,303.79200000000003,97.066
17/04/2014,15/9-F-1 C,0.0,304.335,96.919
18/04/2014,15/9-F-1 C,0.0,304.849,96.72
19/04/2014,15/9-F-1 C,0.0,305.371,96.616
20/04/2014,15/9-F-1 C,0.0,313.871,96.56
21/04/2014,15/9-F-1 C,11.5,301.376,102.676
22/04/2014,15/9-F-1 C,24.0,289.421,106.353
23/04/2014,15/9-F-1 C,24.0,270.24,107.64399999999999
24/04/2014,15/9-F-1 C,24.0,262.843,107.869
25/04/2014,15/9-F-1 C,24.0,255.52700000000002,107.971
26/04/2014,15/9-F-1 C,24.0,247.199,108.052
27/04/2014,15/9-F-1 C,24.0,240.736,108.054
28/04/2014,15/9-F-1 C,24.0,235.021,108.042
29/04/2014,15/9-F-1 C,24.0,232.74400000000003,107.988
30/04/2014,15/9-F-1 C,24.0,233.298,107.89299999999999
01/05/2014,15/9-F-1 C,24.0,231.08900000000003,107.87700000000001
02/05/2014,15/9-F-1 C,24.0,231.419,107.81700000000001
03/05/2014,15/9-F-1 C,24.0,230.766,107.795
04/05/2014,15/9-F-1 C,24.0,230.59599999999998,107.764
05/05/2014,15/9-F-1 C,24.0,229.424,107.78
06/05/2014,15/9-F-1 C,24.0,225.90200000000002,107.86
07/05/2014,15/9-F-1 C,24.0,225.768,107.838
08/05/2014,15/9-F-1 C,24.0,225.687,107.821
09/05/2014,15/9-F-1 C,13.83,227.798,107.59899999999999
10/05/2014,15/9-F-1 C,24.0,226.06099999999998,107.684
11/05/2014,15/9-F-1 C,24.0,225.097,107.836
12/05/2014,15/9-F-1 C,24.0,226.023,107.772
13/05/2014,15/9-F-1 C,24.0,226.905,107.71700000000001
14/05/2014,15/9-F-1 C,24.0,225.576,107.741
15/05/2014,15/9-F-1 C,24.0,225.893,107.709
16/05/2014,15/9-F-1 C,24.0,225.701,107.71
17/05/2014,15/9-F-1 C,24.0,223.60299999999998,107.77799999999999
18/05/2014,15/9-F-1 C,24.0,220.102,107.889
19/05/2014,15/9-F-1 C,24.0,220.49,107.86
20/05/2014,15/9-F-1 C,24.0,220.15400000000002,107.859
21/05/2014,15/9-F-1 C,24.0,220.06599999999997,107.851
22/05/2014,15/9-F-1 C,24.0,219.983,107.852
23/05/2014,15/9-F-1 C,24.0,219.863,107.867
24/05/2014,15/9-F-1 C,24.0,219.923,107.883
25/05/2014,15/9-F-1 C,24.0,219.977,107.90299999999999
26/05/2014,15/9-F-1 C,24.0,219.97400000000002,107.921
27/05/2014,15/9-F-1 C,24.0,219.98,107.936
28/05/2014,15/9-F-1 C,24.0,219.267,107.445
29/05/2014,15/9-F-1 C,24.0,220.007,107.962
30/05/2014,15/9-F-1 C,24.0,220.0,107.97399999999999
31/05/2014,15/9-F-1 C,24.0,219.99400000000003,107.985
01/06/2014,15/9-F-1 C,24.0,220.00599999999997,107.994
02/06/2014,15/9-F-1 C,22.0,221.328,107.825
03/06/2014,15/9-F-1 C,24.0,220.24,107.965
04/06/2014,15/9-F-1 C,24.0,221.268,107.961
05/06/2014,15/9-F-1 C,24.0,221.045,107.973
06/06/2014,15/9-F-1 C,24.0,220.75,107.98700000000001
07/06/2014,15/9-F-1 C,24.0,220.64,107.994
08/06/2014,15/9-F-1 C,24.0,220.50400000000002,108.00299999999999
09/06/2014,15/9-F-1 C,19.5,221.451,107.757
10/06/2014,15/9-F-1 C,24.0,220.852,107.991
11/06/2014,15/9-F-1 C,24.0,218.415,108.065
12/06/2014,15/9-F-1 C,24.0,215.497,108.139
13/06/2014,15/9-F-1 C,24.0,214.82299999999998,108.135
14/06/2014,15/9-F-1 C,24.0,215.833,108.105
15/06/2014,15/9-F-1 C,24.0,214.877,108.11399999999999
16/06/2014,15/9-F-1 C,24.0,215.38099999999997,108.088
17/06/2014,15/9-F-1 C,24.0,216.11900000000003,108.06700000000001
18/06/2014,15/9-F-1 C,24.0,215.984,108.066
19/06/2014,15/9-F-1 C,24.0,215.81799999999998,108.066
20/06/2014,15/9-F-1 C,24.0,215.579,108.073
21/06/2014,15/9-F-1 C,24.0,215.304,108.079
22/06/2014,15/9-F-1 C,24.0,214.949,108.085
23/06/2014,15/9-F-1 C,24.0,214.858,108.087
24/06/2014,15/9-F-1 C,24.0,214.89700000000002,108.08
25/06/2014,15/9-F-1 C,24.0,214.822,108.084
26/06/2014,15/9-F-1 C,16.58,219.55900000000003,107.447
27/06/2014,15/9-F-1 C,23.83,217.252,107.635
28/06/2014,15/9-F-1 C,24.0,215.093,108.07799999999999
29/06/2014,15/9-F-1 C,24.0,215.25900000000001,108.09899999999999
30/06/2014,15/9-F-1 C,24.0,215.351,108.10799999999999
01/07/2014,15/9-F-1 C,24.0,215.385,108.11399999999999
