Date,p (psia),Np (STB),Gp (SCF),Wp (STB),Gi (SCF),Wi (STB),Rp (SCF/STB),Bo (RB/STB),Bg (RB/SCF),Rs (SCF/STB),Rv (STB/SCF)
2008-01-01,4780.59,0,0,0.0,0,0,0.0,1.3049021677799575,0.0009622657994697724,627.7110850725221,0.0
2008-02-01,4725.76,308749,250870000,2595.03,0,0,812.5369999999998,1.3057969346179903,0.0009704994663642187,627.7110850725221,0.0
2008-03-01,4521.7,833031,683581000,2767.48,0,0,820.595,1.3091926043482818,0.0010030764223294623,627.7110850725221,0.0
2008-04-01,4297.32,1301790,1091990000,5799.25,0,187124,838.837,1.3130712382128975,0.0010430438731091527,627.7110850725221,0.0
2008-05-01,4353.89,2090960,1769630000,108190.0,0,1579180,846.324,1.312078341294961,0.0010324713016951483,627.7110850725221,0.0
2008-06-01,4359.69,2995280,2533180000,111174.0,0,2911280,845.7239999999998,1.3119766332314742,0.0010314070377495923,627.7110850725221,0.0
2008-07-01,4362.3,4041070,3408290000,113791.0,0,4370580,843.413,1.3119308533288458,0.0010309293199566084,627.7110850725221,0.0
2008-08-01,4309.95,5081590,4257410000,117418.0,0,5807020,837.811,1.312849213233436,0.0010406532420389083,627.7110850725221,0.0
2008-09-01,4231.05,6290800,5234430000,120337.0,0,6834680,832.077,1.3142413278730685,0.001055869779786308,627.7110850725221,0.0
2008-10-01,4085.44,7782460,6432630000,124899.0,0,9072140,826.555,1.3168637782668002,0.0010856996507735458,627.7110850725221,0.0
2008-11-01,4170.56,9356850,7701280000,141126.0,0,11851400,823.063,1.3153230465352104,0.0010679874990428492,627.7110850725221,0.0
